"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
